	Prediction	Rewrite
0	Anna Politkovskaya's murder remains unsolved, 2016?	Did investigators have any clues in the unresolved murder of Anna Politkovskaya?
1	FSB target Anna Politkovskaya's email?	How did FSB target the murdered journalist Anna Politkovskaya's email?
2	RFIS get into trouble for Anna Politkovskaya?	Did FSB get into trouble for attacking the email account of Anna Politkovskaya's?
3	RFIS have any murder suspects?	Did FSB have any Anna Politkovskaya's murder suspects?
4	the three Makhmudov brothers, Khadjikurbanov and Lom-Ali Gaitukayev go to jail?	Did any of Anna Politkovskaya's murder suspects go to jail?
5	the article about Anna Politkovskaya?	Aside from the case of Anna Politkovskaya's murder, is there anything else interesting in the article?
6	"a 15 year statute of limitation for the ""particularly grave"" crime of first degree murder?"	Is FSB close to solving the murder of Anna Politkovskaya?
7	"the ""particularly grave"" crime of first degree murder"" in the article?"	Aside from the discontinued case against a convicted killer, how is the murder of Anna Politkovskaya similar to any other cases?
8	Superstar Billy Graham return to WWWF?	Why did Superstar Billy Graham return to the WWWF?
9	Superstar Billy Graham's agreement with McMahon?	What was Superstar Billy Graham's agreement with McMahon?
10	Superstar Billy Graham's return to WWWF?	How did people respond to Superstar Billy Graham's return?
11	Superstar Billy Graham's return to WWF during 1977-1981 other than his agreement with McMahon?	What else happened during 1977-1981 other than Superstar Billy Graham's return?
12	the WWF Heavyweight Championship on April 30, 1977?	Did Superstar Billy Graham defeat anyone else other than Bruno Sammartino?
13	he defeated Bruno?	What happened after Superstar Billy Graham defeated Bruno?
14	the WWF Heavyweight Championship after Billy Graham defeated Bruno?	Who took the title after Superstar Billy Graham?
15	the McMahons have?	what disputes did Billy Graham have?
16	Disputes with the McMahons?	why did Billy Graham personally sued Zahorian and the WWF?
17	Billy Graham's lawsuit with the McMahons?	did Billy Graham win the lawsuit against Zahorian and the WWF?
18	Billy Graham's lawsuit with the McMahons failed?	what happened after Billy Graham's lawsuit against Zahorian failed?
19	a public awareness campaign regarding the dangers of steroids?	how did Billy Graham's public awareness campaign regarding the dangers of steroids do?
20	During the Donahue taping Billy Graham sexually abuse children, get anywhere?	did Billy Graham's allegations that WWF officials sexually abuse children get anywhere?
21	Billy Graham able to get money from the McMahons after all?	was Billy Graham able to get money from the WWF after all?
22	Samuel Pepys, Great Plague?	What was the' Great Plague?
23	the Great Plague?	What was included in the Great Plague?
24	Samuel Pepys' Great Plague?	What happened to the poor people during the Great Plague?
25	Samuel Pepys' Great Plague become sick?	Did the poor people become sick during the Great Plague?
26	The Great Plague?	Around what year was the Great Plague happening?
27	the cause of Samuel Pepys?	What was the cause of the Great Plague?
28	The Great Plague ever come to an end?	Did the Great Plague ever come to an end?
29	the Great Plague?	Besides the impacts on the poor, are there any other interesting aspects about this article?
30	the happiest of Samuel Pepys life so happy?	Why was Samuel Pepys' so happy?
31	he quadrupled his fortune?	Aside from being happy, how else did the Great Plague effect Samuel Pepys?
32	the happiest of his life?	What types of things did Samuel Pepys get done?
